nationalInsuranceNumber,lastName,dateOfBirth,nationalAsylumSeekerServiceNumber,group
AB494206D,HCORKOMYLB,1990-01-01,,RichcBulk
AB141937D,LBBHSEVRVX,1990-01-01,,RichcBulk
AB317121D,ZIUOJFNOLD,1990-01-01,,RichcBulk
AB900846D,OVBRALBGLP,1990-01-01,,RichcBulk
AB887069D,ZGNAOGLPCK,1990-01-01,,RichcBulk
AB713952D,IMNRNJKOHP,1990-01-01,,RichcBulk
AB213163D,FHVMTHYVAB,1990-01-01,,RichcBulk
AB717442D,JTKMEPUCYB,1990-01-01,,RichcBulk
AB817572D,DRYPTAFDQI,1990-01-01,,RichcBulk
AB387902D,LKQJMDLRRF,1990-01-01,,RichcBulk
AB626170D,FGWSGZADFM,1990-01-01,,RichcBulk
AB584018D,SCTHXSLQQG,1990-01-01,,RichcBulk
AB542650D,CGYJPVKPRT,1990-01-01,,RichcBulk
AB180124D,AEHUULHJRL,1990-01-01,,RichcBulk
AB574978D,TEGHBTWLQZ,1990-01-01,,RichcBulk
AB435255D,ITGSHJZARU,1990-01-01,,RichcBulk
AB546929D,ZSNAZSACDN,1990-01-01,,RichcBulk
AB334126D,APCURNKIDO,1990-01-01,,RichcBulk
AB196933D,VXKEJPDMNY,1990-01-01,,RichcBulk
AB416414D,LDGMHXXVHW,1990-01-01,,RichcBulk
AB759369D,XYTGXQAIUJ,1990-01-01,,RichcBulk
AB209951D,TFBZVUSXQB,1990-01-01,,RichcBulk
AB299147D,SAYFXPHRIM,1990-01-01,,RichcBulk
AB209850D,RZDGGOORQR,1990-01-01,,RichcBulk
AB178028D,DXPSEDDRUZ,1990-01-01,,RichcBulk
AB216324D,JAXEMTGJZL,1990-01-01,,RichcBulk
AB600393D,DHXAOMCDRW,1990-01-01,,RichcBulk
AB756618D,UTCTSVPSAU,1990-01-01,,RichcBulk
AB656050D,MHXBKPOOBB,1990-01-01,,RichcBulk
AB322845D,NSPLVZBYMK,1990-01-01,,RichcBulk
AB321996D,RQYYUQTWIB,1990-01-01,,RichcBulk
AB187527D,YLJQTVIKHT,1990-01-01,,RichcBulk
AB398711D,KQGJJDRWLU,1990-01-01,,RichcBulk
AB983201D,LHRSPJVQCK,1990-01-01,,RichcBulk
AB817881D,LAWFIPEQQO,1990-01-01,,RichcBulk
AB856004D,QGPNKAMJDN,1990-01-01,,RichcBulk
AB715824D,JNFTAOCQCN,1990-01-01,,RichcBulk
AB385897D,SYQDDHMUIE,1990-01-01,,RichcBulk
AB104963D,PKPOKCUSQH,1990-01-01,,RichcBulk
AB644755D,KCQGAXSFGI,1990-01-01,,RichcBulk
AB456317D,LKVYYXRKQX,1990-01-01,,RichcBulk
AB982661D,ZCFGZZOFAN,1990-01-01,,RichcBulk
AB168638D,FQLVGBLPKM,1990-01-01,,RichcBulk
AB309023D,MSMQSPLUCN,1990-01-01,,RichcBulk
AB664269D,CIEVCOEJFT,1990-01-01,,RichcBulk
AB620679D,ZSDXTDTDGT,1990-01-01,,RichcBulk
AB518024D,NFXTIHUUGK,1990-01-01,,RichcBulk
AB854947D,PIMCBHAUPX,1990-01-01,,RichcBulk
AB512097D,BRSPMUHZUI,1990-01-01,,RichcBulk
AB593691D,DQMFJYSBSD,1990-01-01,,RichcBulk
AB699581D,ZUXPMIPILZ,1990-01-01,,RichcBulk
AB223835D,AMDQNFMRQN,1990-01-01,,RichcBulk
AB356938D,JOUQBPDCRX,1990-01-01,,RichcBulk
AB267357D,TTSYACRSXQ,1990-01-01,,RichcBulk
AB122819D,KEPOCFQCEL,1990-01-01,,RichcBulk
AB583112D,CLNRITGNDC,1990-01-01,,RichcBulk
AB700110D,QVSHNTXYMZ,1990-01-01,,RichcBulk
AB155874D,YBLXEALWGN,1990-01-01,,RichcBulk
AB601304D,WQOHOCFIQP,1990-01-01,,RichcBulk
AB710765D,PCZLRCEHXD,1990-01-01,,RichcBulk
AB472662D,OZRQMFLAZQ,1990-01-01,,RichcBulk
AB567109D,ZOEVEOFCYE,1990-01-01,,RichcBulk
AB599156D,HLKPXEBQIY,1990-01-01,,RichcBulk
AB534288D,BQASIFNCMA,1990-01-01,,RichcBulk
AB433711D,WTHLQSYMCH,1990-01-01,,RichcBulk
AB429413D,PTLKFNXQKF,1990-01-01,,RichcBulk
AB961891D,NQOIKPHTZC,1990-01-01,,RichcBulk
AB461122D,IFWZVNEXHJ,1990-01-01,,RichcBulk
AB486863D,AAICZLSTPW,1990-01-01,,RichcBulk
AB523145D,MIEZJJZEHE,1990-01-01,,RichcBulk
AB813611D,TSACBJNLEG,1990-01-01,,RichcBulk
AB113804D,QCMWJIUAPY,1990-01-01,,RichcBulk
AB229080D,CZZLUMXVPZ,1990-01-01,,RichcBulk
AB122944D,SNRFSDONRO,1990-01-01,,RichcBulk
AB957827D,YPPSKBTVCP,1990-01-01,,RichcBulk
AB272309D,DSBLWZACQC,1990-01-01,,RichcBulk
AB420364D,HFAUXFXGQY,1990-01-01,,RichcBulk
AB354400D,ONBFMBVYXJ,1990-01-01,,RichcBulk
AB163004D,NAQANFIABW,1990-01-01,,RichcBulk
AB992062D,SLNFWTMVQB,1990-01-01,,RichcBulk
AB848257D,DEMAYGPXQT,1990-01-01,,RichcBulk
AB496187D,DZAFFRWYJP,1990-01-01,,RichcBulk
AB617346D,NIQZVMHPBN,1990-01-01,,RichcBulk
AB193445D,GDQSXWSXXU,1990-01-01,,RichcBulk
AB257092D,DRQHOYXQSU,1990-01-01,,RichcBulk
AB531114D,LQZBRTRMLW,1990-01-01,,RichcBulk
AB802462D,LZNTTHOLNT,1990-01-01,,RichcBulk
AB920657D,UAEOLNJHVP,1990-01-01,,RichcBulk
AB671042D,VUOFFUWMXN,1990-01-01,,RichcBulk
AB493099D,XQHAEJGRWP,1990-01-01,,RichcBulk
AB925426D,NXIEVEYEMF,1990-01-01,,RichcBulk
AB260329D,IMLZODNRQC,1990-01-01,,RichcBulk
AB519483D,SUMOENSTCW,1990-01-01,,RichcBulk
AB740670D,JPFEFFDBLA,1990-01-01,,RichcBulk
AB151021D,VKKEAMRGJZ,1990-01-01,,RichcBulk
AB880252D,SIOIWPQJMG,1990-01-01,,RichcBulk
AB436113D,NAXVYDFECY,1990-01-01,,RichcBulk
AB535184D,VMLHLJTKEX,1990-01-01,,RichcBulk
AB654650D,DYYZXGXXDE,1990-01-01,,RichcBulk
AB488331D,KUDXZVUUDE,1990-01-01,,RichcBulk
AB846766D,ULFYKWCKIC,1990-01-01,,RichcBulk
AB194555D,KRAKMHWTGW,1990-01-01,,RichcBulk
AB204865D,BAGOTNRRHC,1990-01-01,,RichcBulk
AB288770D,PRZWPVJKUM,1990-01-01,,RichcBulk
AB624082D,TUPEUMKRQF,1990-01-01,,RichcBulk
AB657837D,TYIWLSIVKS,1990-01-01,,RichcBulk
AB276356D,XWLSCITFIQ,1990-01-01,,RichcBulk
AB290060D,CMCFSMUCDT,1990-01-01,,RichcBulk
AB744435D,XIKMBIGZQW,1990-01-01,,RichcBulk
AB205011D,TEIQEARZAO,1990-01-01,,RichcBulk
AB582368D,KSVDSVVQCU,1990-01-01,,RichcBulk
AB472165D,WBXAAAHIDK,1990-01-01,,RichcBulk
AB359704D,PSTYFAIJPP,1990-01-01,,RichcBulk
AB566595D,HCWPSYRSAM,1990-01-01,,RichcBulk
AB432590D,RMWWAXOKZG,1990-01-01,,RichcBulk
AB717712D,KORTOICBUN,1990-01-01,,RichcBulk
AB367921D,MIOPWLSQHF,1990-01-01,,RichcBulk
AB104674D,BFYKAXEMOT,1990-01-01,,RichcBulk
AB599577D,FNSUSTIDXF,1990-01-01,,RichcBulk
AB991406D,IEWGIQOWVX,1990-01-01,,RichcBulk
AB551367D,NTRWLMJKEX,1990-01-01,,RichcBulk
AB727014D,CHHSEKBHPY,1990-01-01,,RichcBulk
AB616718D,NOZPKHHBBD,1990-01-01,,RichcBulk
AB885893D,QIFHPXNWCU,1990-01-01,,RichcBulk
AB781938D,COQYKYAXKD,1990-01-01,,RichcBulk
AB745831D,EIAABQZSXM,1990-01-01,,RichcBulk
AB675628D,NHWNTNEVQP,1990-01-01,,RichcBulk
AB456797D,WNNVJAMWJV,1990-01-01,,RichcBulk
AB809174D,MGSWWNBITU,1990-01-01,,RichcBulk
AB887890D,DFXLUOKHUL,1990-01-01,,RichcBulk
AB163241D,CSJTYUKFXL,1990-01-01,,RichcBulk
AB920688D,JRKWJDLYBX,1990-01-01,,RichcBulk
AB355190D,MISAEZLPOE,1990-01-01,,RichcBulk
AB926614D,ZZIHRDWLGB,1990-01-01,,RichcBulk
AB466586D,APRKRNUUOJ,1990-01-01,,RichcBulk
AB338424D,DJOGXXGEDP,1990-01-01,,RichcBulk
AB826153D,RMBKZLKNZF,1990-01-01,,RichcBulk
AB173809D,OSTBWNWOAO,1990-01-01,,RichcBulk
AB223677D,FBFWUVKTWE,1990-01-01,,RichcBulk
AB870309D,BWNTRDJFNM,1990-01-01,,RichcBulk
AB416568D,DZTTQYCIVJ,1990-01-01,,RichcBulk
AB763215D,XOTXXAIYKA,1990-01-01,,RichcBulk
AB944400D,KBEACDSPGH,1990-01-01,,RichcBulk
AB899647D,XAHEMRKMRS,1990-01-01,,RichcBulk
AB307213D,HCRBVYADUC,1990-01-01,,RichcBulk
AB591386D,AUODPDEPVK,1990-01-01,,RichcBulk
AB757603D,JXKBQXGCTL,1990-01-01,,RichcBulk
AB398383D,EFRCDZJSLI,1990-01-01,,RichcBulk
AB898515D,YGGUQUHOKN,1990-01-01,,RichcBulk
AB386673D,YVQZAJQZQG,1990-01-01,,RichcBulk
AB533073D,NCWIAYVYZZ,1990-01-01,,RichcBulk
AB318132D,ASNNOUDUEY,1990-01-01,,RichcBulk
AB687906D,HZMEWDAIWT,1990-01-01,,RichcBulk
AB727765D,QHOVUGRMYI,1990-01-01,,RichcBulk
AB669409D,ECDQMDKPDS,1990-01-01,,RichcBulk
AB546654D,UJCBSSZONC,1990-01-01,,RichcBulk
AB158457D,FKSBXRSWBK,1990-01-01,,RichcBulk
AB558410D,ACVISDLBHQ,1990-01-01,,RichcBulk
AB298284D,AXVPHNGOFO,1990-01-01,,RichcBulk
AB662955D,IKWXMKLRMP,1990-01-01,,RichcBulk
AB852392D,NQGTHVUFKN,1990-01-01,,RichcBulk
AB790928D,QRDFXPDKGF,1990-01-01,,RichcBulk
AB538508D,QUXOMYYLYY,1990-01-01,,RichcBulk
AB211000D,XBDIZAGGLO,1990-01-01,,RichcBulk
AB871525D,YQQPKJOHLV,1990-01-01,,RichcBulk
AB402521D,WDHLTMPIKA,1990-01-01,,RichcBulk
AB650146D,TIQBXEQFZB,1990-01-01,,RichcBulk
AB510133D,LIAKRBHNUU,1990-01-01,,RichcBulk
AB524273D,NRSGFBDWNB,1990-01-01,,RichcBulk
AB995859D,IWHYLFHQXK,1990-01-01,,RichcBulk
AB807629D,AXVJOZNHYO,1990-01-01,,RichcBulk
AB887272D,VZUHTCOVLQ,1990-01-01,,RichcBulk
AB671283D,USLZCKBDCS,1990-01-01,,RichcBulk
AB157475D,ZBHNCRSVBN,1990-01-01,,RichcBulk
AB925586D,XTPTBOSZSZ,1990-01-01,,RichcBulk
AB424350D,VTSMFPDSFX,1990-01-01,,RichcBulk
AB692220D,RDHDYRPANZ,1990-01-01,,RichcBulk
AB942450D,IICPDVWPNR,1990-01-01,,RichcBulk
AB749559D,ONKYIAGEFP,1990-01-01,,RichcBulk
AB606137D,LRJWVSZZBX,1990-01-01,,RichcBulk
AB662276D,WHZDZKKXSW,1990-01-01,,RichcBulk
AB943103D,LVMDGZQYAF,1990-01-01,,RichcBulk
AB368536D,WBNYRTRTTA,1990-01-01,,RichcBulk
AB373390D,CPCINBVOAL,1990-01-01,,RichcBulk
AB407484D,EQUYYUXBEU,1990-01-01,,RichcBulk
AB832196D,ZLYTUGCQNA,1990-01-01,,RichcBulk
AB628119D,WHYGITDZOP,1990-01-01,,RichcBulk
AB983042D,IEVMTALWCJ,1990-01-01,,RichcBulk
AB830817D,UJUQSXZJGK,1990-01-01,,RichcBulk
AB733192D,PAKCYOCEZO,1990-01-01,,RichcBulk
AB897109D,UBEATYIHAK,1990-01-01,,RichcBulk
AB500463D,YXPQMFNDHA,1990-01-01,,RichcBulk
AB936614D,JCCMDMMFRA,1990-01-01,,RichcBulk
AB347563D,KFABXGGXRA,1990-01-01,,RichcBulk
AB842702D,VUAWEBUBZE,1990-01-01,,RichcBulk
AB250499D,RHIDWNZSIZ,1990-01-01,,RichcBulk
AB755396D,OBTRLMSOGH,1990-01-01,,RichcBulk
AB455108D,YZLSSVGXQU,1990-01-01,,RichcBulk
AB205564D,PMSJZWZEHZ,1990-01-01,,RichcBulk
AB947518D,YTXPZUNPQF,1990-01-01,,RichcBulk
AB789682D,GFYWTXAXZQ,1990-01-01,,RichcBulk
AB424455D,DDDFPZHMMZ,1990-01-01,,RichcBulk
AB842467D,SLTCLIRHXX,1990-01-01,,RichcBulk
AB162164D,MDYOTKQGFB,1990-01-01,,RichcBulk
AB907238D,AWHMVRJCRU,1990-01-01,,RichcBulk
AB699468D,PKENJPLTIX,1990-01-01,,RichcBulk
AB794064D,EXRMIOUKEL,1990-01-01,,RichcBulk
AB179690D,STLIEPGGYZ,1990-01-01,,RichcBulk
AB176964D,EUUHOHIGEP,1990-01-01,,RichcBulk
AB600665D,SYWPGWGIJF,1990-01-01,,RichcBulk
AB192865D,DSRSBLMYGT,1990-01-01,,RichcBulk
AB317383D,ZPCYVKNHCM,1990-01-01,,RichcBulk
AB132208D,PCWRMWYCKU,1990-01-01,,RichcBulk
AB393591D,KZNTOBKMUV,1990-01-01,,RichcBulk
AB497455D,ODVMFCIPLS,1990-01-01,,RichcBulk
AB287870D,JWBZOMAUJW,1990-01-01,,RichcBulk
AB512440D,HTFFVTZVYF,1990-01-01,,RichcBulk
AB904358D,OOXDCSKMBG,1990-01-01,,RichcBulk
AB581790D,ARYIDCTLDD,1990-01-01,,RichcBulk
AB238882D,SMELASGYGC,1990-01-01,,RichcBulk
AB476331D,NDKKQKKUJP,1990-01-01,,RichcBulk
AB542257D,QYWMMVWTPK,1990-01-01,,RichcBulk
AB123377D,AHAFRWAZPH,1990-01-01,,RichcBulk
AB132676D,TXOQZEOEKQ,1990-01-01,,RichcBulk
AB177000D,LNXGMHDRXO,1990-01-01,,RichcBulk
AB296920D,NOIOPUYYFC,1990-01-01,,RichcBulk
AB148621D,JQNJAZHQRO,1990-01-01,,RichcBulk
AB383374D,SRTNNDZTMK,1990-01-01,,RichcBulk
AB621608D,AWBXCGMPYK,1990-01-01,,RichcBulk
AB270618D,JEYORAHOAJ,1990-01-01,,RichcBulk
AB392181D,VEMAJQVJXC,1990-01-01,,RichcBulk
AB815295D,ZSIRBRDABA,1990-01-01,,RichcBulk
AB180410D,WCNGKYPKKR,1990-01-01,,RichcBulk
AB898687D,LSNNIMRUZQ,1990-01-01,,RichcBulk
AB194637D,IYTWFFQOXV,1990-01-01,,RichcBulk
AB651700D,BONPLNINSP,1990-01-01,,RichcBulk
AB956936D,ARGCHBIYLB,1990-01-01,,RichcBulk
AB402982D,CONMDGQZGO,1990-01-01,,RichcBulk
AB777316D,KMLWNCYFCD,1990-01-01,,RichcBulk
AB710313D,TQXJKRLEEZ,1990-01-01,,RichcBulk
AB338834D,GPOVWDIUAP,1990-01-01,,RichcBulk
AB884103D,UUHNYWVWUG,1990-01-01,,RichcBulk
AB692561D,RSLRZCRYSM,1990-01-01,,RichcBulk
AB980321D,YBCQDHGADR,1990-01-01,,RichcBulk
AB120995D,BAMPCNOVUK,1990-01-01,,RichcBulk
AB959124D,SJZOFEHTLI,1990-01-01,,RichcBulk
AB728726D,ONWHHSHMLL,1990-01-01,,RichcBulk
AB622540D,LJWOVIYKOW,1990-01-01,,RichcBulk
AB561685D,KUYYRJOVKM,1990-01-01,,RichcBulk
AB227908D,SCIGZCEIBS,1990-01-01,,RichcBulk
AB407000D,GSKRXRGZIM,1990-01-01,,RichcBulk
AB665034D,KRBITQOSRE,1990-01-01,,RichcBulk
AB402051D,TFVXJQUPQI,1990-01-01,,RichcBulk
AB561028D,DRDFNQREHT,1990-01-01,,RichcBulk
AB526789D,VZMBSRITVA,1990-01-01,,RichcBulk
AB908390D,LQMUHQWZWP,1990-01-01,,RichcBulk
AB738167D,MGNEPWVTDU,1990-01-01,,RichcBulk
AB567785D,BGXWGQOQSP,1990-01-01,,RichcBulk
AB354481D,EGEKCFIJWH,1990-01-01,,RichcBulk
AB910183D,USIHACDLSI,1990-01-01,,RichcBulk
AB709050D,VKEFZPMMGE,1990-01-01,,RichcBulk
AB140510D,FKUWVHAJAO,1990-01-01,,RichcBulk
AB499228D,GDZYBEVZWQ,1990-01-01,,RichcBulk
AB238448D,NRNVCDKUQV,1990-01-01,,RichcBulk
AB294636D,KCHARLBPKS,1990-01-01,,RichcBulk
AB934327D,WALDWJQKDK,1990-01-01,,RichcBulk
AB119304D,AXPYDYNUVH,1990-01-01,,RichcBulk
AB352435D,DWPZEDWWVU,1990-01-01,,RichcBulk
AB835632D,BNRZCAJTVM,1990-01-01,,RichcBulk
AB816129D,YYWMVUDSKO,1990-01-01,,RichcBulk
AB917152D,YXUEIIBXMC,1990-01-01,,RichcBulk
AB127911D,IJRQNKSUYT,1990-01-01,,RichcBulk
AB588925D,QJBYKPJROP,1990-01-01,,RichcBulk
AB567007D,UONFEBOKAD,1990-01-01,,RichcBulk
AB130585D,SAOMKUONTY,1990-01-01,,RichcBulk
AB329749D,SSGPPFGCOJ,1990-01-01,,RichcBulk
AB496039D,PBQBAENFOT,1990-01-01,,RichcBulk
AB900655D,JDPQSPCGNA,1990-01-01,,RichcBulk
AB610280D,UCFCCDCNDU,1990-01-01,,RichcBulk
AB720652D,BDKQPMIWVX,1990-01-01,,RichcBulk
AB376924D,GRIQWXXBFY,1990-01-01,,RichcBulk
AB182960D,ARXVZLFTIY,1990-01-01,,RichcBulk
AB210568D,ASTADYAPPF,1990-01-01,,RichcBulk
AB734350D,RKWWCGYTVC,1990-01-01,,RichcBulk
AB117380D,FLWHHBEYML,1990-01-01,,RichcBulk
AB284013D,TJTLEOWPQY,1990-01-01,,RichcBulk
AB289275D,ZWJLTKXLZF,1990-01-01,,RichcBulk
AB397508D,ICYMXJWKEM,1990-01-01,,RichcBulk
AB389261D,KOBGJFWNYF,1990-01-01,,RichcBulk
AB541412D,BBGJIOMHQQ,1990-01-01,,RichcBulk
AB643557D,WIVXEWNNAK,1990-01-01,,RichcBulk
AB512529D,VXQXFTTBUS,1990-01-01,,RichcBulk
AB584918D,KZNKWDGYEX,1990-01-01,,RichcBulk
AB608543D,PDFBZDVOLN,1990-01-01,,RichcBulk
AB301828D,FAAHUIDMRW,1990-01-01,,RichcBulk
AB557828D,JKDWNVLASK,1990-01-01,,RichcBulk
AB592818D,NTXROGKSRH,1990-01-01,,RichcBulk
AB366998D,NPTHKWWUZY,1990-01-01,,RichcBulk
AB254410D,NIWZZTPZWM,1990-01-01,,RichcBulk
AB105520D,DBPXRUSWUY,1990-01-01,,RichcBulk
AB860484D,JWFIMSLDLF,1990-01-01,,RichcBulk
AB579303D,CRMPZMUDKI,1990-01-01,,RichcBulk
AB557619D,AXRLOHFFIY,1990-01-01,,RichcBulk
AB491093D,SUBYYQEFAC,1990-01-01,,RichcBulk
AB597673D,MHTCGXXDNH,1990-01-01,,RichcBulk
AB291344D,IGBMUZPDMK,1990-01-01,,RichcBulk
AB675952D,JVTEZWYDHH,1990-01-01,,RichcBulk
AB907865D,VXEYEWRXVS,1990-01-01,,RichcBulk
AB673874D,KJFVXSANQQ,1990-01-01,,RichcBulk
AB876698D,ADAGZOJGBU,1990-01-01,,RichcBulk
AB229090D,OWVUCVMVRD,1990-01-01,,RichcBulk
AB522588D,BHTDQHVBZG,1990-01-01,,RichcBulk
AB895956D,PWQFMTTVJS,1990-01-01,,RichcBulk
AB821228D,TFOXXPXWGZ,1990-01-01,,RichcBulk
AB455938D,YDTHBRJTXW,1990-01-01,,RichcBulk
AB670240D,CBGZXUGUKH,1990-01-01,,RichcBulk
AB970889D,HJLAGRSODI,1990-01-01,,RichcBulk
AB376362D,TZXLICWQSM,1990-01-01,,RichcBulk
AB396877D,FLENRTRBUZ,1990-01-01,,RichcBulk
AB535799D,HYAQIBLWTL,1990-01-01,,RichcBulk
AB608355D,MCRJMKCTMH,1990-01-01,,RichcBulk
AB934420D,KYLCCCUPDB,1990-01-01,,RichcBulk
AB485662D,JKNIQMPUXY,1990-01-01,,RichcBulk
AB861253D,OGTEMZXCJF,1990-01-01,,RichcBulk
AB125216D,FMGCVYTXOW,1990-01-01,,RichcBulk
AB323141D,BQCBZKWLIF,1990-01-01,,RichcBulk
AB856763D,XTLGEETWXN,1990-01-01,,RichcBulk
AB379664D,PNSWGTVZDS,1990-01-01,,RichcBulk
AB748092D,QCTUBAJXJK,1990-01-01,,RichcBulk
AB618911D,JGXQXZHOIL,1990-01-01,,RichcBulk
AB491726D,FFAXCOJYVZ,1990-01-01,,RichcBulk
AB147729D,BVUWPYEMSV,1990-01-01,,RichcBulk
AB739950D,THWRJGFSCY,1990-01-01,,RichcBulk
AB239892D,YYYSNGRGIS,1990-01-01,,RichcBulk
AB692084D,RZCBPQPGVD,1990-01-01,,RichcBulk
AB941381D,CPJLOFPKHO,1990-01-01,,RichcBulk
AB349988D,BDSTGEHVZW,1990-01-01,,RichcBulk
AB591739D,LIZZZYJZZH,1990-01-01,,RichcBulk
AB933978D,SFJRIZTRBD,1990-01-01,,RichcBulk
AB268762D,BJPUCZVOKB,1990-01-01,,RichcBulk
AB851062D,HGTAUOPVBU,1990-01-01,,RichcBulk
AB473389D,LQJWWTXVJN,1990-01-01,,RichcBulk
AB864137D,ZLNINBUOGO,1990-01-01,,RichcBulk
AB794964D,USGLPKDYGY,1990-01-01,,RichcBulk
AB943510D,FIFPOFLRYS,1990-01-01,,RichcBulk
AB143371D,IWXRUBVCSI,1990-01-01,,RichcBulk
AB737387D,VOGIHQRDCI,1990-01-01,,RichcBulk
AB285721D,DGRBBLVROC,1990-01-01,,RichcBulk
AB368305D,FVJQGPALPB,1990-01-01,,RichcBulk
AB386575D,WVHPACAHLZ,1990-01-01,,RichcBulk
AB825245D,HYLMMJIMMZ,1990-01-01,,RichcBulk
AB749844D,QWRBFKTCTY,1990-01-01,,RichcBulk
AB300250D,QHAEXWQSXA,1990-01-01,,RichcBulk
AB723396D,JZCPPERXAS,1990-01-01,,RichcBulk
AB628270D,JGEKIMLRQS,1990-01-01,,RichcBulk
AB400549D,FOWXHOPLGG,1990-01-01,,RichcBulk
AB432612D,TLJWMOVZSP,1990-01-01,,RichcBulk
AB817096D,NVTOVPPSUU,1990-01-01,,RichcBulk
AB352435D,LYVVMXFADU,1990-01-01,,RichcBulk
AB728736D,EEHIUXDHYB,1990-01-01,,RichcBulk
AB426288D,UEHOUVHUAS,1990-01-01,,RichcBulk
AB860480D,HGKEKQTZBK,1990-01-01,,RichcBulk
AB809442D,RJLDEGTRDP,1990-01-01,,RichcBulk
AB391523D,MUUVRTADHQ,1990-01-01,,RichcBulk
AB860476D,GZMFPKTKMB,1990-01-01,,RichcBulk
AB670503D,JBMUCJJCZK,1990-01-01,,RichcBulk
AB716475D,OFFIUOEFXJ,1990-01-01,,RichcBulk
AB120431D,LKHXRBDUPP,1990-01-01,,RichcBulk
AB242325D,PYMJIAJXML,1990-01-01,,RichcBulk
AB304511D,UTNDZAFICQ,1990-01-01,,RichcBulk
AB872442D,PUEWADAQYW,1990-01-01,,RichcBulk
AB918718D,JUMIXPBNZR,1990-01-01,,RichcBulk
AB671946D,MYEMQTWHIG,1990-01-01,,RichcBulk
AB518563D,DZIESJVOAK,1990-01-01,,RichcBulk
AB869722D,JTNKLHSCSG,1990-01-01,,RichcBulk
AB542707D,ELDGCGATAB,1990-01-01,,RichcBulk
AB921796D,TEJNFFUWQD,1990-01-01,,RichcBulk
AB405534D,HDOVMUWGDD,1990-01-01,,RichcBulk
AB195967D,TYUBHMQLLX,1990-01-01,,RichcBulk
AB144237D,WHBGVYAHJR,1990-01-01,,RichcBulk
AB965144D,VKIBJIKTRU,1990-01-01,,RichcBulk
AB161134D,JUYBBDNOAN,1990-01-01,,RichcBulk
AB248720D,UAIVFWZFAB,1990-01-01,,RichcBulk
AB968261D,KCVOHKETMI,1990-01-01,,RichcBulk
AB108127D,BLCYFKKXLL,1990-01-01,,RichcBulk
AB543293D,MXFUSBZAQZ,1990-01-01,,RichcBulk
AB890421D,FDFZUXCNKT,1990-01-01,,RichcBulk
AB759586D,SYCMLRNWVN,1990-01-01,,RichcBulk
AB257324D,FZRVYJQPEQ,1990-01-01,,RichcBulk
AB455878D,IAJGNNSOXL,1990-01-01,,RichcBulk
AB554997D,RMCAVYAFSU,1990-01-01,,RichcBulk
AB532414D,CANIMNOOUF,1990-01-01,,RichcBulk
AB157208D,PCKRUSCQKS,1990-01-01,,RichcBulk
